provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,325,refinery,Refinery,CRUDE OIL REFINERIES,,JEDDAH,N/A,SAUDI ARABIA,oil,100000,,,,,,,100,,liquid_capacity,100000,bpd,capacity,site,1,21.44784,39.18671
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,97050,processing_facility,Processing Facility,GATHERING AND PROCESSING,,N/A,N/A,SUDAN,,,,,,,,,,,,,,,site,1,15.42692,32.21574
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,97053,processing_facility,Processing Facility,GATHERING AND PROCESSING,,CONCORP,N/A,SUDAN,,,,,,,,,,,,,,,site,1,15.5059,32.5067
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,97046,processing_facility,Processing Facility,GATHERING AND PROCESSING,,N/A,N/A,SUDAN,,,,,,,,,,,,,,,site,1,16.13011,32.69043
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,97048,processing_facility,Processing Facility,GATHERING AND PROCESSING,,PORT SUDAN,N/A,SUDAN,,,,,,,,,,,,,,,site,1,19.60092,37.23297
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106792,processing_facility,Processing Facility,GATHERING AND PROCESSING,,ZAULIYAH GAS PLANT,N/A,OMAN,gas,,,,,,,,,,,,,,site,1,20.37507,55.93239
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106788,processing_facility,Processing Facility,GATHERING AND PROCESSING,,ABU TUBUL GAS PLANT,N/A,OMAN,gas,,,,,,,,,,,,,,site,1,20.70896,55.42977
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106785,processing_facility,Processing Facility,GATHERING AND PROCESSING,,SAIH RAWL CPP,N/A,OMAN,,,,,,,,,,,,,,,site,1,21.36944,56.71778
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106791,processing_facility,Processing Facility,GATHERING AND PROCESSING,,SAIH NIHAYDA - SNGP,N/A,OMAN,,,,,,,,,,,,,,,site,1,21.45444,56.97056
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106789,processing_facility,Processing Facility,GATHERING AND PROCESSING,,KHAZZAN - CPF,N/A,OMAN,,,,,,,,,,,,,,,site,1,21.62083,56.58611
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106786,processing_facility,Processing Facility,GATHERING AND PROCESSING,,KAUTHER - KGP,N/A,OMAN,,,,,,,,,,,,,,,site,1,22.09111,57.31694
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106787,processing_facility,Processing Facility,GATHERING AND PROCESSING,,YIBAL - GGP,N/A,OMAN,,,,,,,,,,,,,,,site,1,22.14028,56.02194
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106808,processing_facility,Processing Facility,GATHERING AND PROCESSING,,N/A,N/A,SAUDI ARABIA,,,,,,,,,,,,,,,site,1,22.52949,54.04103
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106810,processing_facility,Processing Facility,GATHERING AND PROCESSING,,N/A,N/A,SAUDI ARABIA,,,,,,,,,,,,,,,site,1,22.68119,54.12796
