site_id,asset_class,asset_label,asset_rank,map_color,name,status,country,lat,lon,geometry_role,primary_provider,primary_dataset,provider_priority,provider_sources,source_datasets,source_ids,provider_classes,subclasses,record_count
site_847,extraction_site,Extraction Site,8,#b2182b,HAZMIYAH,,SAUDI ARABIA,22.74931677614365,46.82876419468471,site,OGIM,ogim,1,OGIM,ogim,2064515,OIL AND NATURAL GAS FIELDS,,1
site_848,extraction_site,Extraction Site,8,#b2182b,HEBA,,EGYPT,29.58071400010207,29.84500779028697,site,OGIM,ogim,1,OGIM,ogim,2060098,OIL AND NATURAL GAS FIELDS,,1
site_849,extraction_site,Extraction Site,8,#b2182b,HEBAH,,OMAN,22.866855499999843,55.98940993555163,site,OGIM,ogim,1,OGIM,ogim,2064147,OIL AND NATURAL GAS FIELDS,,1
site_850,extraction_site,Extraction Site,8,#b2182b,HEQET,,EGYPT,30.383691999974307,26.0612272250949,site,OGIM,ogim,1,OGIM,ogim,2059652,OIL AND NATURAL GAS FIELDS,,1
site_851,extraction_site,Extraction Site,8,#b2182b,HERUNEFER 1,,EGYPT,30.81307200027459,27.269045999655447,site,OGIM,ogim,1,OGIM,ogim,2060337,OIL AND NATURAL GAS FIELDS,,1
site_852,extraction_site,Extraction Site,8,#b2182b,HF 36,,EGYPT,29.552331999996113,28.54941500003727,site,OGIM,ogim,1,OGIM,ogim,2060477,OIL AND NATURAL GAS FIELDS,,1
site_853,extraction_site,Extraction Site,8,#b2182b,HH 83,,EGYPT,28.615630000050032,32.94662071224233,site,OGIM,ogim,1,OGIM,ogim,2059225,OIL AND NATURAL GAS FIELDS,,1
site_854,extraction_site,Extraction Site,8,#b2182b,HIJAH,,YEMEN,15.558079896812686,49.01277298360601,site,OGIM,ogim,1,OGIM,ogim,2064594,OIL AND NATURAL GAS FIELDS,,1
site_855,extraction_site,Extraction Site,8,#b2182b,HILAL (GH 404),,EGYPT,27.838583999907037,33.72855141860262,site,OGIM,ogim,1,OGIM,ogim,2059243,OIL AND NATURAL GAS FIELDS,,1
site_856,extraction_site,Extraction Site,8,#b2182b,HILWAH,,SAUDI ARABIA,23.348153574254155,46.797434724081384,site,OGIM,ogim,1,OGIM,ogim,2064451,OIL AND NATURAL GAS FIELDS,,1
site_857,extraction_site,Extraction Site,8,#b2182b,HIMAIR,,YEMEN,15.745283606864897,49.203116507941985,site,OGIM,ogim,1,OGIM,ogim,2064632,OIL AND NATURAL GAS FIELDS,,1
site_858,extraction_site,Extraction Site,8,#b2182b,HISWA,,YEMEN,15.69898208471173,47.94120512355542,site,OGIM,ogim,1,OGIM,ogim,2064607,OIL AND NATURAL GAS FIELDS,,1
site_859,extraction_site,Extraction Site,8,#b2182b,HODOA,,EGYPT,31.957454000229024,29.880247999670097,site,OGIM,ogim,1,OGIM,ogim,2060238,OIL AND NATURAL GAS FIELDS,,1
site_860,extraction_site,Extraction Site,8,#b2182b,HORUS,,EGYPT,30.62803200003558,28.82679331690123,site,OGIM,ogim,1,OGIM,ogim,2058893,OIL AND NATURAL GAS FIELDS,,1
site_861,extraction_site,Extraction Site,8,#b2182b,HORUS NE 1,,EGYPT,30.63361400024891,28.84114900024323,site,OGIM,ogim,1,OGIM,ogim,2059762,OIL AND NATURAL GAS FIELDS,,1
site_862,extraction_site,Extraction Site,8,#b2182b,HORUS SOUTHWEST,,EGYPT,30.62054100013581,28.81289160377734,site,OGIM,ogim,1,OGIM,ogim,2059909,OIL AND NATURAL GAS FIELDS,,1
site_863,extraction_site,Extraction Site,8,#b2182b,HOSHIA,,EGYPT,28.448897000174348,32.823354529533916,site,OGIM,ogim,1,OGIM,ogim,2059837,OIL AND NATURAL GAS FIELDS,,1
site_864,extraction_site,Extraction Site,8,#b2182b,HOSHIA EAST 1ST,,EGYPT,28.4558179997056,32.869144999907775,site,OGIM,ogim,1,OGIM,ogim,2060128,OIL AND NATURAL GAS FIELDS,,1
site_865,extraction_site,Extraction Site,8,#b2182b,HOSHIA NORTH,,EGYPT,28.505890000058105,32.81040811193111,site,OGIM,ogim,1,OGIM,ogim,2059918,OIL AND NATURAL GAS FIELDS,,1
site_866,extraction_site,Extraction Site,8,#b2182b,HOSHIA WEST,,EGYPT,28.42323750013857,32.78508741923052,site,OGIM,ogim,1,OGIM,ogim,2059827,OIL AND NATURAL GAS FIELDS,,1
site_867,extraction_site,Extraction Site,8,#b2182b,HURGHADA,,EGYPT,27.2514935000564,33.821582190179015,site,OGIM,ogim,1,OGIM,ogim,2058773,OIL AND NATURAL GAS FIELDS,,1
site_868,extraction_site,Extraction Site,8,#b2182b,HUT,,"KUWAIT, SAUDI ARABIA",28.76460855845457,48.99196413196654,site,OGIM,ogim,1,OGIM,ogim,2064460,OIL AND NATURAL GAS FIELDS,,1
site_869,extraction_site,Extraction Site,8,#b2182b,HYDRA,,EGYPT,30.936127500002225,26.710649905819025,site,OGIM,ogim,1,OGIM,ogim,2060112,OIL AND NATURAL GAS FIELDS,,1
site_870,extraction_site,Extraction Site,8,#b2182b,IA028-1,,EGYPT,30.03214900008591,27.72777650013746,site,OGIM,ogim,1,OGIM,ogim,2060267,OIL AND NATURAL GAS FIELDS,,1
site_871,extraction_site,Extraction Site,8,#b2182b,IBRAHIM,,IRAQ,36.28250676954175,42.63277136869978,site,OGIM,ogim,1,OGIM,ogim,2064014,OIL AND NATURAL GAS FIELDS,,1
site_872,extraction_site,Extraction Site,8,#b2182b,IDD EL SHARGI,,QATAR,25.400384993792706,52.34097917606953,site,OGIM,ogim,1,OGIM,ogim,2064428,OIL AND NATURAL GAS FIELDS,,1
site_873,extraction_site,Extraction Site,8,#b2182b,IDKU NORTH-1,,EGYPT,31.571995999975908,30.036982435761622,site,OGIM,ogim,1,OGIM,ogim,2059560,OIL AND NATURAL GAS FIELDS,,1
site_874,extraction_site,Extraction Site,8,#b2182b,IDKU NORTH-2,,EGYPT,31.75652450002885,30.135673729154163,site,OGIM,ogim,1,OGIM,ogim,2059705,OIL AND NATURAL GAS FIELDS,,1
site_875,extraction_site,Extraction Site,8,#b2182b,IDKU NORTH-3,,EGYPT,31.51378949986902,30.043129278216423,site,OGIM,ogim,1,OGIM,ogim,2059706,OIL AND NATURAL GAS FIELDS,,1
site_876,extraction_site,Extraction Site,8,#b2182b,IDKU NORTH-4,,EGYPT,31.739039000052287,30.014288295862677,site,OGIM,ogim,1,OGIM,ogim,2059707,OIL AND NATURAL GAS FIELDS,,1
site_877,extraction_site,Extraction Site,8,#b2182b,IE 33 4,,EGYPT,30.46662699989676,28.240460000289232,site,OGIM,ogim,1,OGIM,ogim,2059169,OIL AND NATURAL GAS FIELDS,,1
site_878,extraction_site,Extraction Site,8,#b2182b,IHSAN/MAWHOOB,,OMAN,18.2513045,55.67395533931908,site,OGIM,ogim,1,OGIM,ogim,2064222,OIL AND NATURAL GAS FIELDS,,1
site_879,extraction_site,Extraction Site,8,#b2182b,II 26-1,,EGYPT,30.81680200003016,27.561592000072267,site,OGIM,ogim,1,OGIM,ogim,2059462,OIL AND NATURAL GAS FIELDS,,1
site_880,extraction_site,Extraction Site,8,#b2182b,IMHOTEP,,EGYPT,30.887675500079908,27.400563732002464,site,OGIM,ogim,1,OGIM,ogim,2059765,OIL AND NATURAL GAS FIELDS,,1
site_881,extraction_site,Extraction Site,8,#b2182b,INJANA,,IRAQ,34.475068733482985,44.62866968624904,site,OGIM,ogim,1,OGIM,ogim,2064045,OIL AND NATURAL GAS FIELDS,,1
site_882,extraction_site,Extraction Site,8,#b2182b,IRAD,,OMAN,18.374643,55.88750354452249,site,OGIM,ogim,1,OGIM,ogim,2064233,OIL AND NATURAL GAS FIELDS,,1
site_883,extraction_site,Extraction Site,8,#b2182b,IRAD NE,,OMAN,18.394496,55.906121870711054,site,OGIM,ogim,1,OGIM,ogim,2064249,OIL AND NATURAL GAS FIELDS,,1
site_884,extraction_site,Extraction Site,8,#b2182b,ISIS,,EGYPT,30.87762450011264,26.671904708214548,site,OGIM,ogim,1,OGIM,ogim,2059819,OIL AND NATURAL GAS FIELDS,,1
site_885,extraction_site,Extraction Site,8,#b2182b,ISLIMBABA,,TURKMENISTAN,35.3670635,62.228298089766625,site,OGIM,ogim,1,OGIM,ogim,2067630,OIL AND NATURAL GAS FIELDS,,1
site_886,extraction_site,Extraction Site,8,#b2182b,ISMAIL,,IRAQ,35.75347148073119,43.76121081801209,site,OGIM,ogim,1,OGIM,ogim,2064030,OIL AND NATURAL GAS FIELDS,,1
site_887,extraction_site,Extraction Site,8,#b2182b,ISSARAN,,EGYPT,28.76343050002393,32.74745325256982,site,OGIM,ogim,1,OGIM,ogim,2059036,OIL AND NATURAL GAS FIELDS,,1
site_888,extraction_site,Extraction Site,8,#b2182b,ISSARAN WEST,,EGYPT,28.755265500345583,32.71699450372932,site,OGIM,ogim,1,OGIM,ogim,2059951,OIL AND NATURAL GAS FIELDS,,1
site_889,extraction_site,Extraction Site,8,#b2182b,JABAL,,IRAQ,36.662327339004435,42.94247811793166,site,OGIM,ogim,1,OGIM,ogim,2064009,OIL AND NATURAL GAS FIELDS,,1
site_890,extraction_site,Extraction Site,8,#b2182b,JABAL ASSALAB,,YEMEN,15.653436436318657,49.1151588022223,site,OGIM,ogim,1,OGIM,ogim,2064627,OIL AND NATURAL GAS FIELDS,,1
site_891,extraction_site,Extraction Site,8,#b2182b,JABAL ASSAMA,,YEMEN,15.517782366334856,45.918307416650165,site,OGIM,ogim,1,OGIM,ogim,2064639,OIL AND NATURAL GAS FIELDS,,1
site_892,extraction_site,Extraction Site,8,#b2182b,JABAL FAUQI,,"IRAN, IRAQ",32.13353469520641,47.57766727214623,site,OGIM,ogim,1,OGIM,ogim,2064077,OIL AND NATURAL GAS FIELDS,,1
site_893,extraction_site,Extraction Site,8,#b2182b,JABAL NOQOM,,YEMEN,15.433557545026446,45.73641698138539,site,OGIM,ogim,1,OGIM,ogim,2064634,OIL AND NATURAL GAS FIELDS,,1
