incident_id,incident_day,wave_number,site_id,site_name,country,asset_class,product_group,capacity_kboed_equiv,confidence_tier,distance_km,energy_relevant_flag,capacity_available_flag,capacity_source,match_quality,link_rank
wiki_20260305_one_drone_hit_the_terminal_209,2026-03-05,,site_78,Al Zour LNG Terminal,KUWAIT,lng_facility,gas,523.6,high,1.989760747482969,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260305_iran_targeted_a_us_oil_tanker__208,2026-03-05,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260305_iran_targeted_a_us_oil_tanker__208,2026-03-05,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260306_petroleum_refinery_227,2026-03-06,,site_128,EL DEKHEILA PETROLEUM TERMINAL,EGYPT,petroleum_terminal,,,high,0,TRUE,FALSE,unmatched,unmatched,1
wiki_20260306_iran_said_it_targeted_kurdish__207,2026-03-06,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260306_the_foreign_ministers_of_g7_co_57,2026-03-06,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260306_iran_said_it_targeted_kurdish__207,2026-03-06,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260306_the_foreign_ministers_of_g7_co_57,2026-03-06,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260306_iran_said_it_targeted_kurdish__207,2026-03-06,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260306_the_foreign_ministers_of_g7_co_57,2026-03-06,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260307_targeting_its_habshan_gas_faci_133,2026-03-07,,site_1449,N/A,UNITED ARAB EMIRATES,extraction_site,,,high,1.875140171571593,TRUE,FALSE,unmatched,ambiguous,5
wiki_20260307_targeting_its_habshan_gas_faci_133,2026-03-07,,site_274,HABSHAN FACILITIES,UNITED ARAB EMIRATES,processing_facility,,,high,0.4011858814136812,TRUE,FALSE,unmatched,unmatched,1
wiki_20260307_the_irgc_said_that_it_attacked_217,2026-03-07,,site_46,UMM SAID,QATAR,refinery,oil,200,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260307_targeting_its_habshan_gas_faci_133,2026-03-07,,site_4838,N/A,UNITED ARAB EMIRATES,other_energy_site,,,high,0.7277819240948054,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260307_targeting_its_habshan_gas_faci_133,2026-03-07,,site_4839,N/A,UNITED ARAB EMIRATES,other_energy_site,,,high,1.1826222465041216,TRUE,FALSE,unmatched,ambiguous,4
wiki_20260307_targeting_its_habshan_gas_faci_133,2026-03-07,,site_4840,N/A,UNITED ARAB EMIRATES,other_energy_site,,,high,0.7578504331221823,TRUE,FALSE,unmatched,ambiguous,3
wiki_20260307_the_irgc_said_that_it_attacked_217,2026-03-07,,site_4983,N/A,QATAR,other_energy_site,,,high,1.166703824377593,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260307_ras_laffan_131,2026-03-07,,site_5090,N/A,QATAR,other_energy_site,,,high,1.439653975932632,TRUE,FALSE,unmatched,ambiguous,4
wiki_20260307_ras_laffan_131,2026-03-07,,site_5092,N/A,QATAR,other_energy_site,,,high,1.011654773202377,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260307_saudi_arabia_said_its_air_defe_132,2026-03-07,,site_6032,WIDYAN - NORTH ARABIAN GULF,"BAHRAIN, IRAN, IRAQ, KUWAIT, QATAR, SAUDI ARABIA",other_energy_site,,,high,0,TRUE,FALSE,unmatched,unmatched,1
wiki_20260307_south_pars_127,2026-03-07,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0.8570422867026646,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260307_ras_laffan_131,2026-03-07,,site_71,RASGAS 1 LNG TERMINAL,QATAR,lng_facility,gas,177.58620689655174,high,0.9453505026282458,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260307_ras_laffan_131,2026-03-07,,site_72,RASGAS 1 LNG TERMINAL,QATAR,lng_facility,gas,74.82758620689656,high,1.775882009283596,TRUE,TRUE,energy_sites_direct,energy_sites_direct,5
wiki_20260307_south_pars_127,2026-03-07,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,0.8569861692272519,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260307_south_pars_127,2026-03-07,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,0.8569861692272519,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260307_ras_laffan_131,2026-03-07,,site_99,QatarEnergy LNG (S),QATAR,lng_facility,gas,863.9399999999999,high,1.2909128233556533,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260308_conflict_2026_iranian_strikes__87,2026-03-08,,site_55,BAHRAIN HIDD FLNG TERMINAL,BAHRAIN,lng_facility,gas,136.20689655172416,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
